#{"t_start": 1718037505.7752743, "env_id": null}
r,l,t
509.7141,250,343.620389
492.771,250,343.723438
516.531,250,343.893739
582.41797,250,343.893813
502.04248,250,346.352733
506.43475,250,346.43782
572.7744,250,346.562977
497.25073,250,347.495204
510.21652,250,347.559414
534.97064,250,347.966586
516.93365,250,347.988947
494.34525,250,348.211383
527.98303,250,348.720584
514.77,250,348.828091
554.4901,250,348.992584
558.4018,250,348.992649
591.0593,250,351.416606
534.67535,250,351.500713
528.2903,250,351.624692
526.43835,250,352.558579
535.9571,250,352.620454
530.3051,250,353.031116
547.546,250,353.053205
534.4731,250,353.277143
522.3614,250,353.78082
523.68896,250,353.879615
533.3442,250,354.04197
509.31842,250,354.042033
585.5679,250,356.464563
466.36655,250,356.547135
517.9364,250,356.669825
542.2207,250,357.598322
550.7814,250,357.65984
523.17944,250,358.072048
576.50696,250,358.097639
544.7807,250,358.325044
551.9539,250,358.835073
524.7248,250,358.939598
526.23785,250,359.100957
529.63434,250,359.101045
519.06714,250,361.553793
502.61414,250,361.635579
